Date,Latitude (°N),Longitude (°E),Platform,Cycle,Min Depth (m),Max Depth (m),Observed Depths Count
2024-01-01,11.0,83.5,1902594,25,3.5,1945.4,15
2024-01-01,7.75,88.25,2903892,11,0.4,1961.3,15
2024-01-01,8.5,89.75,6990608,25,0.1,1961.8,15
2024-01-04,12.75,84.75,2902768,143,0.0,1942.4,15
2024-01-04,14.0,90.0,2902770,142,0.1,1963.1,15
2024-01-04,15.25,89.0,2902772,142,0.3,1961.6,15
2024-01-04,8.5,85.75,2902775,184,0.5,1956.3,15
2024-01-06,9.75,85.25,2902394,303,1.1,1027.3,15
2024-01-06,11.25,83.75,5907082,12,0.1,1965.7,15
2024-01-07,13.25,86.75,1902669,12,0.4,1981.8,15
2024-01-07,14.5,86.75,4903775,12,0.2,1994.3,15
2024-01-07,13.5,85.75,5907083,12,0.2,1956.5,15
2024-01-08,10.75,84.0,2902765,144,0.3,1960.5,15
2024-01-08,13.75,87.5,2902766,147,0.3,1959.5,15
2024-01-08,14.0,89.25,7901125,12,0.2,1991.2,15
2024-01-09,13.0,90.0,2903891,12,0.8,1991.8,15
2024-01-09,12.0,89.5,4903776,12,0.2,1962.4,15
2024-01-09,12.25,87.5,7901126,12,0.2,1987.1,15
2024-01-10,10.75,83.75,1902594,26,3.5,1947.7,15
2024-01-10,9.5,89.75,6990609,12,0.3,1991.3,15
2024-01-10,9.5,87.75,7901127,12,0.2,1987.8,15
2024-01-11,7.75,88.0,2903892,12,0.0,2006.2,15
2024-01-11,8.25,89.25,6990608,26,0.1,2008.6,15
2024-01-14,12.75,84.0,2902768,144,0.1,1955.6,15
2024-01-14,14.0,90.25,2902770,143,0.1,1958.1,15
2024-01-14,15.5,89.0,2902772,143,0.3,1962.9,15
2024-01-14,8.75,85.25,2902775,185,0.2,1980.2,15
2024-01-16,10.0,85.25,2902394,304,1.1,2014.7,15
2024-01-16,11.5,84.0,5907082,13,0.1,1965.6,15
2024-01-17,13.25,86.5,1902669,13,0.2,1965.4,15
2024-01-17,14.25,86.5,4903775,13,0.4,1987.0,15
2024-01-17,13.25,85.0,5907083,13,0.2,1955.0,15
2024-01-18,11.25,84.5,2902765,145,0.0,1958.7,15
2024-01-18,13.5,87.5,2902766,148,0.3,1961.1,15
2024-01-18,14.25,89.25,7901125,13,0.4,1961.1,15
2024-01-19,13.0,89.75,2903891,13,0.4,1965.7,15
2024-01-19,11.75,89.25,4903776,13,0.1,1984.5,15
2024-01-19,12.5,87.75,7901126,13,0.0,1984.3,15
2024-01-20,11.25,84.25,1902594,27,3.5,1944.0,15
2024-01-20,9.25,89.75,6990609,13,0.0,1967.8,15
2024-01-20,9.5,88.25,7901127,13,0.2,1990.5,15
2024-01-21,7.75,87.75,2903892,13,0.1,1987.4,15
2024-01-21,7.75,88.75,6990608,27,0.4,1987.6,15
2024-01-24,12.75,83.5,2902768,145,0.4,1942.0,15
2024-01-24,13.5,90.5,2902770,144,0.1,1960.7,15
2024-01-24,15.75,89.0,2902772,144,0.2,1964.5,15
2024-01-24,9.25,84.75,2902775,186,0.1,1982.4,15
2024-01-25,10.0,85.5,2902394,305,1.2,1067.2,15
2024-01-26,12.0,84.0,5907082,14,0.4,1990.2,15
2024-01-27,13.25,86.25,1902669,14,0.3,1965.1,15
2024-01-27,14.0,86.0,4903775,14,0.3,1979.9,15
2024-01-27,13.25,84.5,5907083,14,0.1,1987.4,15
2024-01-28,11.75,84.75,2902765,146,0.2,1958.2,15
2024-01-28,13.5,87.5,2902766,149,0.3,1961.9,15
2024-01-28,14.5,89.5,7901125,14,0.3,1980.3,15
2024-01-29,13.0,89.75,2903891,14,0.3,1983.8,15
2024-01-29,11.5,88.75,4903776,14,0.2,1961.0,15
2024-01-29,13.0,88.0,7901126,14,0.1,1966.7,15
2024-01-30,11.5,84.5,1902594,28,3.5,1948.8,15
2024-01-30,8.75,89.5,6990609,14,0.0,1992.8,15
2024-01-30,9.75,88.5,7901127,14,0.2,1940.7,15
2024-01-31,7.5,87.5,2903892,14,0.1,2010.2,15
2024-01-31,7.5,88.25,6990608,28,2.8,1940.5,15
2024-02-03,5.25,88.75,1902670,14,0.1,2005.8,15
2024-02-03,12.75,82.75,2902768,146,0.2,1943.6,15
2024-02-03,13.25,90.25,2902770,145,0.0,1964.2,15
2024-02-03,16.0,88.75,2902772,145,0.3,1957.9,15
2024-02-03,9.75,84.5,2902775,187,0.1,1959.1,15
2024-02-04,10.0,86.0,2902394,306,1.0,1058.4,15
2024-02-05,12.5,84.0,5907082,15,0.2,1958.1,15
2024-02-06,13.0,86.25,1902669,15,0.2,1966.1,15
2024-02-06,13.75,87.75,2902766,150,0.4,1959.8,15
2024-02-06,13.5,85.75,4903775,15,0.2,1984.0,15
2024-02-06,13.5,84.25,5907083,15,0.2,1981.0,15
2024-02-07,12.0,85.0,2902765,147,0.0,1957.0,15
2024-02-07,14.5,89.5,7901125,15,0.1,1990.1,15
2024-02-08,13.0,89.75,2903891,15,0.1,1970.1,15
2024-02-08,11.0,88.5,4903776,15,0.2,1987.7,15
2024-02-08,13.0,88.25,7901126,15,0.4,1985.1,15
2024-02-09,12.0,84.5,1902594,29,3.5,1984.2,15
2024-02-09,8.25,88.75,6990609,15,0.1,1981.4,15
2024-02-09,9.75,89.0,7901127,15,0.1,1982.4,15
2024-02-10,7.5,87.0,2903892,15,0.2,1967.3,15
2024-02-10,7.25,88.0,6990608,29,0.2,1986.4,15
2024-02-13,5.5,88.5,1902670,15,0.1,1940.1,15
2024-02-13,13.0,82.25,2902768,147,0.4,1967.7,15
2024-02-13,13.0,90.0,2902770,146,0.2,1959.7,15
2024-02-13,16.0,88.75,2902772,146,9.0,1959.2,13
2024-02-13,9.75,84.75,2902775,188,0.2,1939.9,15
2024-02-15,12.75,83.5,5907082,16,0.2,2009.3,15
2024-02-16,13.25,86.5,1902669,16,0.4,1960.8,15
2024-02-16,14.0,88.0,2902766,151,0.1,1958.8,15
2024-02-16,13.25,85.75,4903775,16,0.2,1983.2,15
2024-02-16,13.5,84.0,5907083,16,0.2,1961.3,15
2024-02-17,12.0,85.25,2902765,148,0.2,1955.3,15
2024-02-17,14.25,89.5,7901125,16,0.2,1963.2,15
2024-02-18,13.0,89.75,2903891,16,0.4,2004.9,15
2024-02-18,10.75,88.75,4903776,16,0.2,1959.5,15
2024-02-18,13.0,88.25,7901126,16,0.2,1980.4,15
2024-02-19,12.0,84.75,1902594,30,3.5,1949.0,15
2024-02-19,8.0,88.25,6990609,16,0.1,1941.2,15
2024-02-19,9.5,89.25,7901127,16,0.2,2006.6,15
2024-02-20,7.75,86.25,2903892,16,0.2,1990.1,15
2024-02-20,7.25,87.5,6990608,30,0.4,2013.1,15
2024-02-23,6.0,88.0,1902670,16,0.2,2004.8,15
2024-02-23,13.0,82.0,2902768,148,0.0,1962.9,15
2024-02-23,12.75,89.75,2902770,147,0.1,1959.1,15
2024-02-23,15.75,88.5,2902772,147,0.3,1958.2,15
2024-02-23,9.25,85.0,2902775,189,0.1,1968.3,15
2024-02-25,14.0,88.5,2902766,152,0.4,1942.7,15
2024-02-25,12.5,83.5,5907082,17,0.3,1968.4,15
2024-02-26,13.25,86.5,1902669,17,0.2,1942.2,15
2024-02-26,13.25,85.75,4903775,17,0.1,1964.9,15
2024-02-26,13.75,84.0,5907083,17,0.3,1945.9,15
2024-02-27,12.25,85.5,2902765,149,0.4,1942.7,15
2024-02-27,14.0,89.5,7901125,17,0.1,1964.5,15
2024-02-28,12.25,84.75,1902594,31,3.5,1946.4,15
2024-02-28,13.0,89.75,2903891,17,0.3,1957.8,15
2024-02-28,10.75,89.0,4903776,17,0.1,1990.8,15
2024-02-28,13.0,88.25,7901126,17,0.3,1965.0,15
2024-02-29,7.75,87.75,6990609,17,0.3,2004.9,15
2024-02-29,9.0,89.25,7901127,17,0.2,2009.5,15
2024-03-01,8.0,85.5,2903892,17,0.2,1980.5,15
2024-03-01,7.25,86.75,6990608,31,0.3,1987.3,15
2024-03-04,6.5,87.25,1902670,17,0.4,1991.6,15
2024-03-04,10.0,87.75,2902394,309,1.1,502.5,13
2024-03-04,13.0,82.0,2902768,149,0.1,1941.0,15
2024-03-04,12.75,89.5,2902770,148,0.2,1965.6,15
2024-03-04,15.75,88.25,2902772,148,0.3,1958.9,15
2024-03-04,9.0,85.25,2902775,190,0.3,1956.9,15
2024-03-06,14.25,88.75,2902766,153,0.1,1963.9,15
2024-03-06,12.5,83.5,5907082,18,0.1,1964.3,15
2024-03-07,13.5,86.75,1902669,18,0.2,1962.3,15
2024-03-07,13.25,85.5,4903775,18,0.2,2011.1,15
2024-03-07,14.0,84.0,5907083,18,0.3,2007.7,15
2024-03-08,12.25,85.75,2902765,150,0.1,1957.1,15
2024-03-08,13.75,89.5,7901125,18,0.4,1946.3,15
2024-03-09,12.5,84.75,1902594,32,3.5,1947.3,15
2024-03-09,13.0,89.75,2903891,18,0.1,1983.6,15
2024-03-09,10.75,89.0,4903776,18,0.3,1969.0,15
2024-03-09,13.25,88.0,7901126,18,0.3,1962.9,15
2024-03-10,7.5,87.75,6990609,18,0.2,1965.9,15
2024-03-10,8.75,89.25,7901127,18,0.4,1983.0,15
2024-03-11,8.25,85.0,2903892,18,0.2,2012.4,15
2024-03-11,7.25,86.25,6990608,32,0.1,1981.8,15
2024-03-14,6.5,87.0,1902670,18,0.3,1992.3,15
2024-03-14,10.0,88.0,2902394,310,1.2,1007.7,15
2024-03-14,12.75,81.75,2902768,150,0.4,1943.8,15
2024-03-14,12.5,89.5,2902770,149,0.2,1959.2,15
2024-03-14,15.75,88.25,2902772,149,0.2,1962.0,15
2024-03-14,8.75,85.5,2902775,191,0.2,1984.7,15
2024-03-15,14.5,88.75,2902766,154,0.3,1958.9,15
2024-03-16,13.0,83.0,5907082,19,0.2,1955.9,15
2024-03-17,13.75,86.75,1902669,19,0.2,1957.7,15
2024-03-17,5.25,87.75,2902764,156,0.3,1963.3,15
2024-03-17,13.25,85.5,4903775,19,0.4,1988.6,15
2024-03-17,14.0,84.0,5907083,19,0.3,1964.1,15
2024-03-18,13.25,89.25,7901125,19,0.4,1985.6,15
2024-03-19,12.75,84.75,1902594,33,3.5,1983.5,15
2024-03-19,12.5,86.0,2902765,151,0.3,1958.5,15
2024-03-19,13.0,89.75,2903891,19,0.4,1979.9,15
2024-03-19,10.5,88.75,4903776,19,0.1,1985.1,15
2024-03-19,13.0,88.0,7901126,19,0.0,1970.8,15
2024-03-20,7.5,88.5,6990609,19,0.4,1966.0,15
2024-03-20,8.75,89.25,7901127,19,0.2,1992.4,15
2024-03-21,8.0,85.0,2903892,19,0.2,1942.9,15
2024-03-21,7.25,86.0,6990608,33,0.0,1967.5,15
2024-03-24,6.25,87.5,1902670,19,0.1,1985.3,15
